id,name,color,type,rarity
CARD.BASH,Bash,Ironclad,Attack,Basic
CARD.DEFEND_IRONCLAD,Defend (Ironclad),Ironclad,Skill,Basic
CARD.STRIKE_IRONCLAD,Strike (Ironclad),Ironclad,Attack,Basic
CARD.ANGER,Anger,Ironclad,Attack,Common
CARD.ARMAMENTS,Armaments,Ironclad,Skill,Common
CARD.BLOOD_WALL,Blood Wall,Ironclad,Skill,Common
CARD.BLOODLETTING,Bloodletting,Ironclad,Skill,Common
CARD.BODY_SLAM,Body Slam,Ironclad,Attack,Common
CARD.BREAKTHROUGH,Breakthrough,Ironclad,Attack,Common
CARD.CINDER,Cinder,Ironclad,Attack,Common
CARD.HAVOC,Havoc,Ironclad,Skill,Common
CARD.HEADBUTT,Headbutt,Ironclad,Attack,Common
CARD.IRON_WAVE,Iron Wave,Ironclad,Attack,Common
CARD.MOLTEN_FIST,Molten Fist,Ironclad,Attack,Common
CARD.PERFECTED_STRIKE,Perfected Strike,Ironclad,Attack,Common
CARD.POMMEL_STRIKE,Pommel Strike,Ironclad,Attack,Common
CARD.SETUP_STRIKE,Setup Strike,Ironclad,Attack,Common
CARD.SHRUG_IT_OFF,Shrug It Off,Ironclad,Skill,Common
CARD.SWORD_BOOMERANG,Sword Boomerang,Ironclad,Attack,Common
CARD.THUNDERCLAP,Thunderclap,Ironclad,Attack,Common
CARD.TREMBLE,Tremble,Ironclad,Skill,Common
CARD.TRUE_GRIT,True Grit,Ironclad,Skill,Common
CARD.TWIN_STRIKE,Twin Strike,Ironclad,Attack,Common
CARD.ASHEN_STRIKE,Ashen Strike,Ironclad,Attack,Uncommon
CARD.BATTLE_TRANCE,Battle Trance,Ironclad,Skill,Uncommon
CARD.BLUDGEON,Bludgeon,Ironclad,Attack,Uncommon
CARD.BULLY,Bully,Ironclad,Attack,Uncommon
CARD.BURNING_PACT,Burning Pact,Ironclad,Skill,Uncommon
CARD.DEMONIC_SHIELD,Demonic Shield,Ironclad,Skill,Uncommon
CARD.DISMANTLE,Dismantle,Ironclad,Attack,Uncommon
CARD.DOMINATE,Dominate,Ironclad,Skill,Uncommon
CARD.DRUM_OF_BATTLE,Drum of Battle,Ironclad,Power,Uncommon
CARD.EVIL_EYE,Evil Eye,Ironclad,Skill,Uncommon
CARD.EXPECT_A_FIGHT,Expect a Fight,Ironclad,Skill,Uncommon
CARD.FEEL_NO_PAIN,Feel No Pain,Ironclad,Power,Uncommon
CARD.FIGHT_ME!,Fight Me!,Ironclad,Attack,Uncommon
CARD.FLAME_BARRIER,Flame Barrier,Ironclad,Skill,Uncommon
CARD.FORGOTTEN_RITUAL,Forgotten Ritual,Ironclad,Skill,Uncommon
