id,name
POTION.ATTACK_POTION,Attack Potion
POTION.BLOCK_POTION,Block Potion
POTION.COLORLESS_POTION,Colorless Potion
POTION.DEXTERITY_POTION,Dexterity Potion
POTION.ENERGY_POTION,Energy Potion
POTION.EXPLOSIVE_AMPOULE,Explosive Ampoule
POTION.FIRE_POTION,Fire Potion
POTION.FLEX_POTION,Flex Potion
POTION.POWER_POTION,Power Potion
POTION.SKILL_POTION,Skill Potion
POTION.SPEED_POTION,Speed Potion
POTION.STRENGTH_POTION,Strength Potion
POTION.SWIFT_POTION,Swift Potion
POTION.VULNERABLE_POTION,Vulnerable Potion
POTION.WEAK_POTION,Weak Potion
POTION.BLOOD_POTION,Blood Potion
POTION.POISON_POTION,Poison Potion
POTION.STAR_POTION,Star Potion
POTION.POTION_OF_DOOM,Potion of Doom
POTION.FOCUS_POTION,Focus Potion
POTION.BLESSING_OF_THE_FORGE,Blessing of the Forge
POTION.CLARITY_EXTRACT,Clarity Extract
POTION.CURE_ALL,Cure All
POTION.DUPLICATOR,Duplicator
POTION.FORTIFIER,Fortifier
POTION.FYSH_OIL,Fysh Oil
POTION.GAMBLERS_BREW,Gambler's Brew
POTION.HEART_OF_IRON,Heart of Iron
POTION.LIQUID_BRONZE,Liquid Bronze
POTION.POTION_OF_BINDING,Potion of Binding
POTION.POWDERED_DEMISE,Powdered Demise
POTION.RADIANT_TINCTURE,Radiant Tincture
POTION.REGEN_POTION,Regen Potion
POTION.STABLE_SERUM,Stable Serum
POTION.TOUCH_OF_INSANITY,Touch of Insanity
POTION.ASHWATER,Ashwater
POTION.CUNNING_POTION,Cunning Potion
POTION.KINGS_COURAGE,King's Courage
POTION.BONE_BREW,Bone Brew
POTION.POTION_OF_CAPACITY,Potion of Capacity
POTION.BEETLE_JUICE,Beetle Juice
POTION.BOTTLED_POTENTIAL,Bottled Potential
POTION.DISTILLED_CHAOS,Distilled Chaos
POTION.DROPLET_OF_PRECOGNITION,Droplet of Precognition
POTION.ENTROPIC_BREW,Entropic Brew
POTION.FAIRY_IN_A_BOTTLE,Fairy in a Bottle
POTION.FRUIT_JUICE,Fruit Juice
POTION.GIGANTIFICATION_POTION,Gigantification Potion
POTION.LIQUID_MEMORIES,Liquid Memories
POTION.LUCKY_TONIC,Lucky Tonic
POTION.MAZALETHS_GIFT,Mazaleth's Gift
POTION.OROBIC_ACID,Orobic Acid
POTION.SHACKLING_POTION,Shackling Potion
POTION.SHIP_IN_A_BOTTLE,Ship in a Bottle
POTION.SNECKO_OIL,Snecko Oil
POTION.SOLDIERS_STEW,Soldier's Stew
POTION.GHOST_IN_A_JAR,Ghost in a Jar
POTION.COSMIC_CONCOCTION,Cosmic Concoction
POTION.POT_OF_GHOULS,Pot of Ghouls
POTION.ESSENCE_OF_DARKNESS,Essence of Darkness
POTION.FOUL_POTION,Foul Potion
POTION.GLOWWATER_POTION,Glowwater Potion
POTION.POTION_SHAPED_ROCK,Potion-Shaped Rock
