id,name,tier
RELIC.BURNING_BLOOD,Burning Blood,Starter
RELIC.BLACK_BLOOD,Black Blood,Starter
RELIC.RING_OF_THE_SNAKE,Ring of the Snake,Starter
RELIC.RING_OF_THE_DRAKE,Ring of the Drake,Starter
RELIC.DIVINE_RIGHT,Divine Right,Starter
RELIC.DIVINE_DESTINY,Divine Destiny,Starter
RELIC.BOUND_PHYLACTERY,Bound Phylactery,Starter
RELIC.PHYLACTERY_UNBOUND,Phylactery Unbound,Starter
RELIC.CRACKED_CORE,Cracked Core,Starter
RELIC.INFUSED_CORE,Infused Core,Starter
RELIC.AMETHYST_AUBERGINE,Amethyst Aubergine,Common
RELIC.ANCHOR,Anchor,Common
RELIC.BAG_OF_PREPARATION,Bag of Preparation,Common
RELIC.BLOOD_VIAL,Blood Vial,Common
RELIC.BOOK_OF_FIVE_RINGS,Book of Five Rings,Common
RELIC.BRONZE_SCALES,Bronze Scales,Common
RELIC.CENTENNIAL_PUZZLE,Centennial Puzzle,Common
RELIC.FESTIVE_POPPER,Festive Popper,Common
RELIC.GORGET,Gorget,Common
RELIC.HAPPY_FLOWER,Happy Flower,Common
RELIC.JUZU_BRACELET,Juzu Bracelet,Common
RELIC.LANTERN,Lantern,Common
RELIC.MEAL_TICKET,Meal Ticket,Common
RELIC.ODDLY_SMOOTH_STONE,Oddly Smooth Stone,Common
RELIC.PENDULUM,Pendulum,Common
RELIC.PERMAFROST,Permafrost,Common
RELIC.POTION_BELT,Potion Belt,Common
RELIC.REGAL_PILLOW,Regal Pillow,Common
RELIC.STRAWBERRY,Strawberry,Common
RELIC.STRIKE_DUMMY,Strike Dummy,Common
RELIC.TINY_MAILBOX,Tiny Mailbox,Common
RELIC.VAJRA,Vajra,Common
RELIC.VENERABLE_TEA_SET,Venerable Tea Set,Common
RELIC.WAR_PAINT,War Paint,Common
RELIC.WHETSTONE,Whetstone,Common
RELIC.RED_SKULL,Red Skull,Common
RELIC.SNECKO_SKULL,Snecko Skull,Common
RELIC.FENCING_MANUAL,Fencing Manual,Common
RELIC.BONE_FLUTE,Bone Flute,Common
RELIC.DATA_DISK,Data Disk,Common
RELIC.AKABEKO,Akabeko,Uncommon
RELIC.BAG_OF_MARBLES,Bag of Marbles,Uncommon
RELIC.BELLOWS,Bellows,Uncommon
RELIC.BOWLER_HAT,Bowler Hat,Uncommon
RELIC.CANDELABRA,Candelabra,Uncommon
RELIC.ETERNAL_FEATHER,Eternal Feather,Uncommon
RELIC.GREMLIN_HORN,Gremlin Horn,Uncommon
RELIC.HORN_CLEAT,Horn Cleat,Uncommon
RELIC.JOSS_PAPER,Joss Paper,Uncommon
RELIC.KUSARIGAMA,Kusarigama,Uncommon
RELIC.LETTER_OPENER,Letter Opener,Uncommon
RELIC.LUCKY_FYSH,Lucky Fysh,Uncommon
RELIC.MERCURY_HOURGLASS,Mercury Hourglass,Uncommon
RELIC.MINIATURE_CANNON,Miniature Cannon,Uncommon
RELIC.NUNCHAKU,Nunchaku,Uncommon
RELIC.ORICHALCUM,Orichalcum,Uncommon
RELIC.ORNAMENTAL_FAN,Ornamental Fan,Uncommon
RELIC.PANTOGRAPH,Pantograph,Uncommon
RELIC.PARRYING_SHIELD,Parrying Shield,Uncommon
RELIC.PEAR,Pear,Uncommon
RELIC.PEN_NIB,Pen Nib,Uncommon
RELIC.PETRIFIED_TOAD,Petrified Toad,Uncommon
RELIC.PLANISPHERE,Planisphere,Uncommon
RELIC.RED_MASK,Red Mask,Uncommon
RELIC.REPTILE_TRINKET,Reptile Trinket,Uncommon
RELIC.RIPPLE_BASIN,Ripple Basin,Uncommon
RELIC.SPARKLING_ROUGE,Sparkling Rouge,Uncommon
RELIC.STONE_CRACKER,Stone Cracker,Uncommon
RELIC.TUNING_FORK,Tuning Fork,Uncommon
RELIC.VAMBRACE,Vambrace,Uncommon
RELIC.PAPER_PHROG,Paper Phrog,Uncommon
RELIC.SELF_FORMING_CLAY,Self-Forming Clay,Uncommon
RELIC.TINGSHA,Tingsha,Uncommon
RELIC.TWISTED_FUNNEL,Twisted Funnel,Uncommon
RELIC.GALACTIC_DUST,Galactic Dust,Uncommon
RELIC.REGALITE,Regalite,Uncommon
RELIC.BOOK_REPAIR_KNIFE,Book Repair Knife,Uncommon
RELIC.FUNERARY_MASK,Funerary Mask,Uncommon
RELIC.GOLD_PLATED_CABLES,Gold-Plated Cables,Uncommon
RELIC.SYMBIOTIC_VIRUS,Symbiotic Virus,Uncommon
RELIC.ART_OF_WAR,Art of War,Rare
RELIC.BEATING_REMNANT,Beating Remnant,Rare
RELIC.CAPTAINS_WHEEL,Captain's Wheel,Rare
RELIC.CHANDELIER,Chandelier,Rare
RELIC.CLOAK_CLASP,Cloak Clasp,Rare
RELIC.FROZEN_EGG,Frozen Egg,Rare
RELIC.GAMBLING_CHIP,Gambling Chip,Rare
RELIC.GAME_PIECE,Game Piece,Rare
RELIC.GIRYA,Girya,Rare
RELIC.ICE_CREAM,Ice Cream,Rare
RELIC.INTIMIDATING_HELMET,Intimidating Helmet,Rare
RELIC.KUNAI,Kunai,Rare
RELIC.LASTING_CANDY,Lasting Candy,Rare
RELIC.LIZARD_TAIL,Lizard Tail,Rare
RELIC.MANGO,Mango,Rare
RELIC.MEAT_ON_THE_BONE,Meat on the Bone,Rare
RELIC.MOLTEN_EGG,Molten Egg,Rare
RELIC.MUMMIFIED_HAND,Mummified Hand,Rare
RELIC.OLD_COIN,Old Coin,Rare
RELIC.POCKETWATCH,Pocketwatch,Rare
RELIC.PRAYER_WHEEL,Prayer Wheel,Rare
RELIC.RAINBOW_RING,Rainbow Ring,Rare
RELIC.RAZOR_TOOTH,Razor Tooth,Rare
RELIC.SHOVEL,Shovel,Rare
RELIC.SHURIKEN,Shuriken,Rare
RELIC.STONE_CALENDAR,Stone Calendar,Rare
RELIC.STURDY_CLAMP,Sturdy Clamp,Rare
RELIC.THE_COURIER,The Courier,Rare
RELIC.TOXIC_EGG,Toxic Egg,Rare
RELIC.TUNGSTEN_ROD,Tungsten Rod,Rare
RELIC.UNCEASING_TOP,Unceasing Top,Rare
RELIC.UNSETTLING_LAMP,Unsettling Lamp,Rare
RELIC.VEXING_PUZZLEBOX,Vexing Puzzlebox,Rare
RELIC.WHITE_BEAST_STATUE,White Beast Statue,Rare
